"SubjectID" "Activity" "Domain" "Device" "AccelerationComponent" "Stat" "Axis" "Jerk" "Magnitude" "meanVal" "n"
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "X" "Jerk" NA -0.184777986714286 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "X" NA NA -0.113658525846429 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "Y" "Jerk" NA -0.22808852075 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "Y" NA NA -0.0742782819 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "Z" "Jerk" NA -0.434256061428571 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" "Z" NA NA -0.296473813678571 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" NA "Jerk" "Magnitude" -0.119701861678571 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "mean" NA NA "Magnitude" -0.06760317325 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" "X" "Jerk" NA -0.202478678509643 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" "X" NA NA -0.103948089932143 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" "Y" "Jerk" NA -0.224905915296429 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" "Y" NA NA -0.0455758867178571 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" "Z" "Jerk" NA -0.516095982857143 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" "Z" NA NA -0.112452208571429 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" NA "Jerk" "Magnitude" -0.254298875903571 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Accelerometer" "Body" "std" NA NA "Magnitude" -0.264349880378571 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "mean" "X" NA NA -0.423577624642857 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "mean" "Y" NA NA -0.186405372785714 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "mean" "Z" NA NA -0.178911898535714 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "mean" NA "Jerk" "Magnitude" -0.435965402464286 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "mean" NA NA "Magnitude" -0.248337149392857 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "std" "X" NA NA -0.535530097142857 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "std" "Y" NA NA -0.0339426658214286 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "std" "Z" NA NA -0.362665404285714 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "std" NA "Jerk" "Magnitude" -0.537559601428571 28
1 "WALKING_DOWNSTAIRS" "Frequency" "Gyroscope" "Body" "std" NA NA "Magnitude" -0.324706683214286 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" "X" "Jerk" NA 0.0628772325714286 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" "X" NA NA 0.272154196428571 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" "Y" "Jerk" NA 0.0243084681678571 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" "Y" NA NA -0.0153264487792857 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" "Z" "Jerk" NA -0.0161821921428571 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" "Z" NA NA -0.0949711475357143 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" NA "Jerk" "Magnitude" -0.219716752860714 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "mean" NA NA "Magnitude" -0.0140828025671429 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" "X" "Jerk" NA -0.156114020335714 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" "X" NA NA -0.10438892475 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" "Y" "Jerk" NA -0.199718153632143 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" "Y" NA NA -0.0102461790107143 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" "Z" "Jerk" NA -0.476050511428571 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" "Z" NA NA -0.116902427035714 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" NA "Jerk" "Magnitude" -0.173363865521429 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Body" "std" NA NA "Magnitude" -0.101515471785714 28
1 "WALKING_DOWNSTAIRS" "Time" "Accelerometer" "Gravity" "mean" "X" NA NA 0.905800576071429 28
